SessionID, CDN ID, ISP ID, City ID, Day, Hour 
201,1,67,26856,53,16
202,1,67,26856,61,16
203,1,67,26856,74,17
204,1,67,26856,64,15
205,1,67,26856,74,17
206,1,67,26856,12,15
207,1,67,26856,11,14
208,1,67,26856,43,17
209,1,67,26856,12,15
210,1,67,26856,36,14
211,1,67,26856,71,13
212,1,67,26856,69,15
213,1,67,26856,15,14
214,1,67,26856,81,15
215,1,67,26856,81,17
216,1,67,26856,81,17
217,1,67,26856,29,13
218,1,67,26856,83,16
219,1,67,26856,43,14
220,1,67,26856,74,13
221,1,67,26856,74,13
222,1,67,26856,35,17
223,1,67,26856,32,15
224,1,67,26856,29,16
225,1,67,26856,15,15
226,1,67,26856,28,17
227,1,67,26856,64,14
228,1,67,26856,69,16
229,1,67,26856,20,13
230,1,67,26856,34,17
231,1,67,26856,34,17
232,1,67,26856,21,15
233,1,67,26856,34,14
234,1,67,26856,77,16
235,1,67,26856,13,16
236,1,67,26856,13,16
237,1,67,26856,28,15
238,1,67,26856,53,13
239,1,67,26856,64,17
240,1,67,26856,13,16
241,1,67,26856,33,17
242,1,67,26856,64,15
243,1,67,26856,35,14
244,1,67,26856,13,17
245,1,67,26856,39,13
246,1,67,26856,12,14
247,1,67,26856,12,14
248,1,67,26856,61,14
249,1,67,26856,36,14
250,1,67,26856,29,17
251,1,67,26856,68,14
252,1,67,26856,33,16
253,1,67,26856,34,17
254,1,67,26856,28,16
255,1,67,26856,43,15
256,1,67,26856,33,14
257,1,67,26856,76,12
258,1,67,26856,68,17
259,1,67,26856,41,14
260,1,67,26856,29,15
261,1,67,26856,64,13
262,1,67,26856,21,17
263,1,67,26856,53,13
264,1,67,26856,68,16
265,1,67,26856,6,15
266,1,67,26856,4,15
267,1,67,26856,12,16
268,1,67,26856,13,14
269,1,67,26856,13,15
270,1,67,26856,61,15
271,1,67,26856,13,14
272,1,67,26856,40,16
273,1,67,26856,40,16
274,1,67,26856,78,13
275,1,67,26856,81,17
276,1,67,26856,64,17
277,1,67,26856,28,16
278,1,67,26856,28,16
279,1,67,26856,64,17
280,1,67,26856,64,17
281,1,67,26856,74,15
282,1,67,26856,84,14
283,1,67,26856,61,16
284,1,67,26856,70,15
285,1,67,26856,42,13
286,1,67,26856,84,14
287,1,67,26856,77,14
288,1,67,26856,75,14
289,1,67,26856,83,14
290,1,67,26856,36,17
291,1,67,26856,81,15
292,1,67,26856,78,17
293,1,67,26856,14,17
294,1,67,26856,11,13
295,1,67,26856,28,14
296,1,67,26856,78,14
297,1,67,26856,27,14
298,1,67,26856,27,14
299,1,67,26856,21,14
300,1,67,26856,13,16
